# 41220
# author_id;author_name
0;Brian Lantz
1;N. Noutchegueme
2;Mike Hobson
3;L. J. Zhou
4;M. Beau
5;Malcolm A. H. MacCallum
6;Olivier Gagnon
7;Nicola Bellomo
8;Amitabh Virmani
9;Dariusz Tryniecki
10;P. LeBlanc
11;Paulo Vargas Moniz
12;Sidney Bludman
13;D. Bennett
14;Ph. Laurent
15;Y. D. Xu
16;P. E. de Souza
17;P. G. Kevrekidis
18;A Beesham
19;X. Jaen
20;R. Chaubey
21;Pınar Kirezli
22;Bram J. J. Slagmolen
23;J. Bros
24;R. Mankin
25;C. Davis
26;D. Coule
27;O. Puncken
28;Yan Wu
29;Demetrios B. Papadopoulos
30;Q. Q. Sun
31;Gregor Weihs
32;A. Westphal
33;V. D. Ivashchuk
34;G. Au
35;Kasey Wagoner
36;S. Koranda
37;D. Sellers
38;G. Tagliaferri
39;Arne Goedeke
40;E. Orlando
41;Marc Lilley
42;G. Pivato
43;Enrique Martinez-Gonzalez
44;Christophe Pichon
45;Kevin Falls
46;Y. Aharonov
47;Thomas K. DeLillo
48;Mark A. Gurwell
49;L. Scarabello
50;Yuki Sato
51;Włodzimierz Natorf
52;Nicolás Zalaquett
53;Frederik Denef
54;Yishi Duan
55;Laura Sberna
56; Ping-Li
57;G. D. O'Dea
58;M. Steinke
59;Y. Sota
60;C. Hogan
61;Onur Genç
62;D. Dirkx
63;Diederik Roest
64;M. S. Meyer
65;I. Wilmut
66;Pramod Padmanabhan
67;Jean Lachapelle
68;Leonardo Amarilla
69;Thomas Dauser
70;Gonçalo M. Quinta
71;E. Gjerløw
72;Soumya D. Mohanty
73;A. Rezaei-Aghdam
74;Dario Capasso
75;Roberto Tauraso
76;Guillaume Idelon-Riton
77;T. Buchert
78;Joaquín Delgado
79;Daniel Hartley
80;Jorge C. Lopes
81;Matthew Perry
82;Kıvanç İ. Ünlütürk
83;Andrea Possenti
84;Maryam Rastkar
85;Arnau Riera
86;Bogdan Dănilă
87;Andres Balaguera-Antolinez
88;M. Blagojevic
89;Mehrdad Farhoudi
90;Tsuyoshi Houri
91;Garrett Goon
92;S. J. Walters
93;B. Kiziltan
94;Michael E Tobar
95;P. C. Stichel
96;Plamen G. Krastev
97;Wolfgang Drechsler
98;Kathryn M. Zurek
99;Josue De-Santiago
100;S. Shajidul Haque
101;Preston Jones
102;Yury Vorobiev
103;A. D. Spallicci
104;John N. Bahcall
105;Luiz Carlos Garcia de Andrade
106;Daniel V. Paulino
107;Pyry Wahlman
108;M. B. Young
109;E. Genin
110;Julian Borrill
111;F. Tavakoli
112;Ching-Tzung Yeh
113;Seth E. Timpano
114;Howard Brewington
115;The Cang Nguyen
116;Gen Uchida
117;J. G. Santiago-Santiago
118;V. D. Dzhunushaliev
119;Riccardo D'Auria
120;G. Jannes
121;V. Necula
122;Emma Platts
123;Maximilian Demmel
124;Qingjuan Yu
125;M. Niedermaier
126;Carlos Valcarcel Flores
127;Jian Dai
128;T. Pecháček
129;Antonios Nathanail
130;Graca Rocha
131;L. Z. Fang
132;H. Laffon
133;Pavol Severa
134;Holger Ahlers
135;K. Honscheid
136;Mei Wang
137;Gonzalo Martín-Vázquez
138;S. M'arka
139;J. -L. Starck
140;J. Healy
141;A. Blaut
142;Xing-Hui Feng
143;Thorsten Lang
144;Craig Cahillane
145;Hector O. Silva
146;Job Feldbrugge
147;J. I. Latorre
148;S. M. Koehlenbeck
149;R. Horvat
150;Manibrata Sen
151;G. M. Maksimova
152;Keun-Young Kim
153;Matthew Lewandowski
154;Chang-Yu Huang
155;Stefano Foffa
156;Marcus Bugner
157;Radu Roiban
158;E. F. Keane
159;Christine Jones
160;A. H. Yeranyan
161;B. Bruegmann
162;Yue Cao
163;Gihyuk Cho
164;Rodrigo Dal Bosco Fontana
165;Y. N. Obukhov
166;R. J. Rivers
167;Joshua Nichols-Barrer
168;Mat Smith
169;M. Principe
170;A. C. Breslin
171;A. Déctor
172;Sergei P. Maydanyuk
173;B. Jensen
174;K. Hurley
175;Shan Bai
176;Kevork N. Abazajian
177;Vincent S. Min
178;Gabriele Benomio
179;Chris O'Toole
180;Ilídio Lopes
181;M. Honari-Jafarpour
182;M. Hewitson
183;I. Gutiérrez-Sagredo
184;Paul T. Allen
185;Yury A. Tsalkou
186;Emiliano Capolongo
187;Joaquim Gomis
188;Sergei Klishevich
189;Matthew M. Roberts
190;S. Schwemmer
191;Vineet Kumar
192;Jerzy lewandowski
193;Naotoshi Okamura
194;Stanislav Komarov
195;Markus A. Luty
196;Geoffrey Martin
197;P. Kuusk
198;Kevin Crowston
199;Christoph Solveen
200;Dan Xie
201;K. Kawabe
202;M. Oliver
203;S. Danilishin
204;Jan Novotný
205;William J. Poyser
206;Jonathan Richardson
207;Pradeep S. Muktibodh
208;Sara Islamzadeh
209;Weicheng Ye
210;J. R. Mureika
211;Marc Normandin
212;A. F. F. Teixeira
213;Rafael Torrealba
214;G. De Rosa
215;S. Kondratyuk
216;Stefan Antusch
217;Juan-Antonio Miralles
218;M. -M. MacLow
219;Ali Parvizi
220;Enrique García-Berro
221;Jae-Hun Jung
222;B. Meneux
223;S. M. Mousavi
224;C. Wieland
225;Dan B. Thomas
226;Louis H. Kauffman
227;R. Alvarado
228;Chun-Yen Lin
229;Angus S Bell
230;I. Raptis
231;Andrew Liddle
232;S Márka
233;Julien Grain
234;Z. G. Murzakhanov
235;Edward Parker
236;Henry Glass
237;Arkady A. Tseytlin
238;Miho Urano
239;Piotr Waluk
240;Thomas Gasenzer
241;S. V. Abajyan
242;Nisar Ahmed
243;B. Knispel
244;Laurent Nottale
245;Júlio C. Fabris
246;Sumitada Onda
247;James M Nester
248;M. M. Tsulaia
249;Dean P. Foster
250;A. Torres-Forn'e
251;A. Benoit-Lévy
252;Soumyadip Chowdhury
253;T. Ezawa
254;D. Scott
255;R. N. Tiwari
256;F. Gianotti
257;R. Rosas-Rodriguez
258;M. Dubinin
259;Huai-Dong Cao
260;F. Hammad
261;A. Fischer
262;L. Zangrando
263;Shaun Hotchkiss
264;S. L. Dubovsky
265;Gaurav Khanna
266;J. Simon
267;Yasuhiro Asano
268;Kazuhiro Agatsuma
269;A. Gebauer
270;C. Carilli
271;J. Perez-Oregon
272;Giorgos Anastasiou
273;E. Kankare
274;M. Shino
275;Theodora Ioannidou
276;Hasan Makhlof
277;Ming-Fan Wu
278;Zhuo-Yu Xian
279;Guoqing Huang
280;Pedro V. P. Cunha
281;R. C. Fonseca
282;L. G. Gomes
283;Thilina S. Weerathunga
284;E. Kyriakopoulos
285;V. Martin
286;Jian-Qi Shen
287;Yuanxing Gui
288;N. Graham
289;K. H. Vu
290;Guido Festuccia
291;Raul Horvat
292;Masanori Kyo
293;Brian Bachman
294;A. M. Polyakov
295;P. C. Argyres
296;E. V. Frolova
297;Daniele Pranzetti
298;N. Quintin
299;Viktor Radović
300;Dimitar Ivanov
301;Maria Cristina Neacsu
302;S. Foffa
303;C. Barbachoux
304;L. D. Faddeev
305;Ednaldo L. B. Junior
306;Dario Núñez
307;M. Iriondo
308;Paul Steinhardt
309;Tom Prince
310;A. Tavernarakis
311;Rahul Srivastava
312;G. Montani
313;John M Blondin
314;V. Guruprasad
315;R. S. Tate
316;Minoru Koga
317;K. H. C. Castello-Branco
318;P. M. Okouma
319;Alexander Wiegand
320;Prabir Gharami
321;Eric Linder
322;Jose Velhinho
323;Tae Kyoung Lee
324;S. Yamamoto
325;Massimo Campostrini
326;José A. Zapata
327;K. Hotta
328;J. Berra-Montiel
329;S. Zohren
330;Stèphane Cordier
331;Ligeia Aránguiz
332;M. Cavagliá
333;Jarod George Kelly
334;Deden M. Akbar
335;J. Finley
336;Jacques Bros
337;David B. Fairlie
338;Leonardo Quintanar G.
339;L. Pieri
340;Alan L. Roy
341;Mario Pimenta
342;Marios Hadjiantonis
343;H. L. C. Louzada
344;S. Mignemi
345;Brien Nolan
346;Alexander G. Polnarev
347;Cássio I. S. Marinho
348;Rodrigo Romero
349;A. de Waele
350;B. U. Gadre
351;C. Mishra
352;S. I. Vilchinskyi
353;Thomas M. Fiola
354;L. Rob
355;Nikhil J. Joshi
356;Dai G. Yamazaki
357;Leon R. U. Manssur
358;Robert D. Bock
359;Francois Bourliot
360;A F F Teixeira
361;Bohdan Novosyadlyj
362;Neven Bilic
363;Ermis Mitsou
364;Asoke K. Sen
365;Xi Tong
366;Miguel Alcubierre
367;Costas J. Efthimiou
368;Myungshik Kim
369;Martin Blaschke
370;H. Mueller-Ebhardt
371;David Pereñiguez
372;G. Vianello
373;Michael W. Toomey
374;Giuseppe Gaetano Luciano
375;Geoffrey Penington
376;María E. Gabach Clement
377;Chia-Hsien Shen
378;Andrzej Herdegen
379;Sean S Leavey
380;M. Abad
381;Chiara Pagani
382;Masao Iihoshi
383;Shankar Dayal Pathak
384;Evan D. Hall
385;D. R. Stinebring
386;Marina Ramon Medrano
387;Chandramouli Chowdhury
388;G. De Troia
389;D. Dwivedee
390;Cesar Arias
391;Amir F. Shakirzyanov
392;Maxim V. Eingorn
393;R. Serafinelli
394;Neil Barnaby
395;Vikram Soni
396;W. Tyler
397;A. Dietz
398;E. M. Babalic
399;E Alfinito
400;Victor Buza
401;G. De Lucia
402;E. Tournefier
403;H. R. Gustafson
404;Amaro J. Rica da Silva
405;Roger Temam
406;Francesco Giacomello
407;Peter Collas
408;Thomas L. Wilson
409;P. Gil
410;Jin-he Tao
411;Nicolaos Toumbas
412;Antonia Micol Frassino
413;Kotub Uddin
414;Andrei A. Galiautdinov
415;Sanjay K. Ghosh
416;Antoine Géré
417;D. Di Gioacchino
418;Santabrata Das
419;Rennan Bar-Kana
420;C. Wetterich
421;J. D. Carrick
422;Edward K Porter
423;Hakan Cebeci
424;Rahul Srinivasan
425;J. B. Kanner
426;V. Mandic
427;R. Livine
428;Ernazar Abdikamalov
429;Galin N. Gyulchev
430;Fethi M. Ramazanoğlu
431;G. Rousseaux
432;Lorenzo de Vittori
433;J. M. Reyes
434;S. lambert
435;Maria C. Neacsu
436;Keiichi Akama
437;Luz Maria Diaz-Rivera
438;Peter Strittmatter
439;Paolo A. Ospina
440;R. C. Helling
441;A. Stamerra
442;Christopher J. Miller
443;Gia Dvali
444;Daniel Martin-de Blas
445;Gao-Ming Deng
446;Mokhtar Hassaïne
447;Goutam Manna
448;S. Lambert
449;Eve Chase
450;Yaohui Fan
451;L. M. Lin
452;B. Szilágyi
453;Joachim Saur
454;M R Setare
455;Juan A. Morales-Lladosa
456;M. Cannoni
457;Joseph D. Romano
458;Johannes Ruoff
459;The BOOTES Collaboration
460;Cédric Leygnac
461;Christine Corbett Moran
462;Mariafelicia F. De Laurentis
463;J. W. Richardson
464;Janyce Franc
465;with an appendix by Don Zagier
466;Torrey Cullen
467;Maria Di Bari
468;Sujata Gupta
469;Matthew Benacquista
470;Rafael Dolnick Sorkin
471;John R. Einhorn
472;Dmitry Gorbunov
473;Yu. G. Vasilevski
474;M. Matsuoka
475;Gabor Sarosi
476;Luigi Mancini
477;Christian Weedbrook
478;D. Giardini
479;Julius Wons
480;S. Takada
481;D. V. Kapse
482;Jon Brown
483;D. Babusci
484;I. Csabai
485;Rashida Jahangir
486;I. R. Kizirgulov
487;Mostafa Hashemi
488;Alejandra Jimenez-Rosales
489;Kevon Reis
490;M. Jamil Amir
491;Ruan Couto
492;V. Dryuma
493;M. A. Sagioro-Leal
494;Dmitri Kharzeev
495;Mikhail V. Poplavskiy
496;H. Lichtenegger
497;G. R. Ghate
498;P. Miller
499;Alexey Toporensky
500;Horst Borrmann
501;C. Núñez
502;Vanessa P. de Freitas
503;H. Paris
504;M. Millhouse
505;Marc Georgi
506;T. Charters
507;L. -W. Wei
508;S. L. Cacciatori
509;Karen Crowther
510;Ricardo García-Salcedo
511;Ana Alonso-Serrano
512;A. Zadrożny
513;S. Majid
514;M. Giersz
515;Philip Lagogiannis
516;Martín Daniel De Cicco
517;Burkhard U. W. Schwab
518;D. J. Toms
519;E. N. Chudaeva
520;R J Wiltshire
521;Julio M. Hoff da Silva
522;Berit Behnke
523;S. Kloster
524;KOSTAS D. KOKKOTAS
525;Djamel Dou
526;H. Sol
527;A. Dirmeier
528;G. Howitt
529;Andrew N. Jordan
530;Kyosuke Hirochi
531;David B. Singleton
532;Afshan Kanwal
533;J. P. Ryan
534;Bernard Carr
535;J. R. van Meter
536;Thomas Baumgarte
537;A. Maleknejad
538;Mark B. Wise
539;A. Palmer
540;J. -M. Lamarre
541;Tomek Bulik
542;H. Campbell
543;D E Diaz
544;Kohei Kumazaki
545;G. Passeggio
546;Manuel Sandoval
547;N. Behrouz
548;F. Brueckner
549;Tadmon Calvin
550;S. P. Braham
551;E. C. de Rey Neto
552;J. M. Isidro
553;David Leon
554;Tomohiro Nakamura
555;Dario Cannone
556;H. M. Mok
557;Nurettin Pirinççioglu
558;J. F. da Rocha-Neto
559;K. Tanaka
560;M. Yazback
561;Kasia Zwierzchowska
562;E. Atasoy
563;T. Hotta
564;Amber Lenon
565;Michael P. Ryan, Jr.
566;Xiao Zhang
567;M. Mapelli
568;Łukasz Bratek
569;Yasumichi Sano
570;Ismael Cognard
571;T. Nguyen
572;Marina Martinez
573;Johanna Karouby
574;Laura Sampson
575;Yong Seung Cho
576;B Guillaume
577;Ian Swanson
578;Carole Weydert
579;Eva Llabrés
580;M. DeCesar
581;Lauren Greenspan
582;M. Haney
583;D. Sluse
584;Dandan Zhang
585;Y. Enomoto
586;Stéphane Fay
587;Mark P. Bogers
588;Tomas Kopf
589;A Schmitz
590;Delia Ionescu
591;Timothy Dolch
592;Stanislav Rusak
593;Anthony N Lasenby
594;Luc Nguyen
595;V. M. Bardeghyan
596;J G Baker
597;Mike Blake
598;Werner Israel
599;Daniel Vogt
600;O. Birnholtz
601;D. Emmanoulopoulos
602;H. H. Harutyunyan
603;Theodore C. Quinn
604;Ratul Chowdhury
605;Isabel Garcia Garcia
606;F. Mansouri
607;Fei-Hong Ho
608;Mattias Dahl
609;P. Rapagnaniab
610;Z. Arzoumanian
611;Shau-Yu Lan
612;Shaon Ghosh
613;S. M. Wagh
614;V. G. Gueorguiev
615;Kristen D. Pechan
616;Ryan Orson Behunin
617;Damian Ejlli
618;Thomas Filk
619;Michael L. Fanto
620;R. Wijnands
621;Marco Cavaglia`
622;Anne-Sylvie Deutsch
623;Sabina H. Huttner
624;Huan Yang
625;F. Abe
626;François Larrouturou
627;Vasileios G. Karageorgopoulos
628;D Kokkinos
629;Frank Gronwald
630;K. E. Osetrin
631;Karim A. Malik
632;M. R. Setare
633;G. Soliani
634;J. Asorey
635;E. Bittner
636;A. V. Yaparova
637;Dana Levanony
638;L Vlahos
639;Steve Brandt
640;F. Belgiorno
641;Jun Cheng
642;Nikodem J. Poplawski
643;S. Rosswog
644;Mu-In Park
645;H. Zheng
646;Valeria Pettorino
647;M. Beneke
648;E. A. Hinds
649;Y. Akiyama
650;G. Zahariade
651;D. Budker
652;A. Usenko
653;P. Ruiz-Lapuente
654;Ofek Fischer-Birnholtz
655;R. H. Brandenberger
656;P. H. R. S. Moraes
657;Paul Windey
658;Layne C. Price
659;Shounak Ghosh
660;Andras Csordas
661;Ashutosh Tripathi
662;G. Rudolph
663;K. Kazakov
664;Martin Weitz
665;Gary Steigman
666;R. Kurdyumov
667;Nicola De Lillo
668;Olaf Milbredt
669;Qiang Yuan
670;Toshifumi Futamase
671;C. Gundlach
672;Adan Cabello
673;K. Kirch
674;Catherine Williams
675;Mirco Ragni
676;Li Ju
677;J. Albert et al.
678;Pavel Kroupa
679;Mohamed Abdelwahab
680;Javad Koohbor
681;Mercedes Velazquez
682;B. V. Turimov
683;E. Sanchez-Sastre
684;Shikha Chaurasia
685;P. Saha
686;U. Nucamendi
687;Yasuho Yamashita
688;Miguel Angel Javaloyes
689;Jorge Gigante Valcarcel
690;I. I. Shapiro
691;A. A. Logunov
692;Y. Oda
693;Tomas Verdugo
694;V. Sahni
695;Carlo Iazeolla
696;Bruce Partridge
697;K. Koyama
698;P. Russell
699;R. Katebi
700;S. Giacintucci
701;J. Herrero
702;Atsushi Noda
703;A. S. Chistyakov
704;Luke Roberts
705;Richard J. Oram
706;B. K. Darian
707;Rafael A. Porto
708;Shou-Huang Dai
709;S. Kroker
710;M. Mazzoni
711;N. Dimakis
712;Ana Carla P. Bitencourt
713;M. V. Movshev
714;De-Xing Kong
715;I. M. McHardy
716;Hiroshi Suenobu
717;J. Oberling
718;Wen-Rong Dai
719;N. Leefer
720;A. Nowicki
721;Avneet Singh
722;Hwee-Boon Low
723;E. Williams
724;Alexander N. Linden
725;Rosikhuna F. Assafari
726;W Vodel
727;L. Verde
728;William Huanshan Chuang
729;M. P"urrer
730;R. D. Lambaga
731;Olivier Bienaymé
732;Daniel Baker
733;A. Berard
734;Erez M. Yahalomi
735;Jonathan Engle
736;Wojtek J. Zakrzewski
737;Grégoire Martinon
738;Philippe G. LeFloch
739;A. Kh. Grigoryan
740;Danilo E. Diaz
741;L. Naticchioni
742;David Rideout
743;Mark Edwards
744;D. M. Mladenov
745;Andoni Torres-Rivas
746;L. Brocki
747;F Marion
748;Fedele Lizzi
749;M. Dotti
750;W. Piechocki
751;I. C. Jardim
752;Javier Bonatti González
753;Dmitri Fursaev
754;Jun Meng
755;M. Moles
756;Si Chen
757;Anthony Hoover
758;G. Szűcs
759;G. Q. Garcia
760;V. V. Bochkarev
761;Nicholas Teh
762;A. C. Searle
763;Shigeo Nagano
764;Mehdi Rezaei
765;Michael Zucker
766;G. C. Corrêa
767;O F Blanco
768;Shouvik Datta
769;Sam R Dolan
770;József Illy
771;Tomasz Odrzygóźdź
772;Allen E. Everett
773;Leila Graef
774;R. L. Savage
775;B. Franzon
776;F. Scardigli
777;Pamir Talazan
778;Mohammad Ali Gorji
779;A. Melandri
780;Thibaut Coudarchet
781;Francesco Di Filippo
782;Shi-Qian Hu
783;S. Krishnamurthy
784;Helge Rose
785;Marco Matone
786;Lev V. Prokhorov
787;J. W. York
788;Stephen F. Gull
789;S. Farese
790;Martin Taylor
791;E. T. Tomboulis
792;Michael D. Seifert
793;D. Waite
794;J. Meidam
795;Tomohito Suzuki
796;Matteo Tuveri
797;Victor Pozsgay
798;Margarita Safonova
799;Alina Khaybullina
800;Lauretiu Ioan Caramete
801;Matthew Ussher
802;Adrian Chapman
803;Julian Le Witt
804;T. Kaji
805;Yu-Hang Xing
806;Erfan Massaeli
807;Cullan Howlett
808;Mikael Fjällborg
809;Justin Read
810;P. Bieliavsky
811;P. Bakala
812;R. Kaya
813;Mohamed Bourennane
814;Ashley Perko
815;LiYong Ji
816;Frank Postberg
817;Shengguo Guan
818;Hui Dong
819;L. London
820;E. Palazzi
821;Chung-Pei Ma
822;Marco Mackaay
823;B. Maffei
824;Songming Zhang
825;Maja Buric
826;Fabio Scardigli
827;Napoleón Hernández
828;Adam Stahl
829;Franco Ferrari
830;Ja'nos Maja'r
831;Niayesh Afshordi
832;A. S. Matveev
833;B. Biondo
834;Davide Racco
835;Ivano Tavernelli
836;A. Eskandarian
837;Pasquier Noterdaeme
838;Ricardo Estrada
839;Sebastian Moeckel
840;G. La Mura
841;Eline Maaike de Weerd
842;C. P. Burgess
843;Stefano Lucat
844;A. Dev
845;M. Reyes
846;Lavrentios Kazantzidis
847;O. Troconis
848;David F. Mota
849;Claude LeBrun
850;Jin Li
851;M. Martinis
852;Panagiotis Katsaroumpas
853;R. Moti
854;Cecilia Bejarano
855;M. H. Y. Moussa
856;Marko Stojanovic
857;D. Churches
858;Andrew Carmichael Post
859;Arif Babul
860;Malcolm Fairbairn
861;Kirk Wegter-McNelly
862;Ritabrata Biswas
863;Giuseppe Tormen
864;William E. Gabella
865;A A Malykh
866;M. Barucci
867;B. Gompertz
868;Cao H. Nam
869;Yuta Michimura
870;Gary Shiu
871;K. Das
872;Sumara Nazeer
873;Eric Dupuis
874;K. Okino
875;Aniello Grado
876;O. A. Aslan
877;Damon Civin
878;Emmanuel Kohlprath
879;Johanna Erdmenger
880;Harini Desiraju
881;Aditya Dhumuntarao
882;W. Gassler
883;S. Kwang
884;Tobias Hurth
885;C. Farnier
886;Xuefei Gong
887;Lam Hui
888;C. Hanna
889;Yonnge Ma
890;Tomáš Procházka
891;Miquel Dorca
892;J. Tossa
893;Alejandra Montecinos
894;Yanhua Jia
895;James Bardeen
896;Paul M. Branoff
897;Thomas Buchert
898;I. W. Martin
899;Erik Wessel
900;G. L. Fogli
901;Kai Liao
902;Govind Menon
903;A. Peltola
904;O. O. Kobzar
905;W G Unruh
906;B. Mongwane
907;N. Letendre
908;M. H. van Kerkwijk
909;F. Acerneseac
910;Kevin Kuns
911;Zhuo-Yi Huang
912;Jack Borthwick
913;André Ploegh
914;Fa-bo Feng
915;Wenbin Lu
916;Samuel D. McDermott
917;Malcolm J. Perry
918;P. S. Koliogiannis
919;Russell Jones
920;Faycal Hammad
921;S. Ng
922;Sergio L Cacciatori
923;Andrea Seppi
924;Jianmang Lin
925;Michał Piróg
926;Andrew Lange
927;R. B. Zhang
928;Dmitry Gal'tsov
929;Xu Cai
930;Alberto Landetta
931;G. Persichetti
932;Christoph Simon
933;M. A. Per
934;Daniel E. Barraco
935;Byon N. Jayawiguna
936;Michal Zajaček
937;S. Holst
938;William M. Goldman
939;Feng Liang
940;Umair Surani
941;L. G. Balázs
942;Emmanuel N. Saridakis
943;Jia-Hui Huang
944;Z. Dayyani
945;Jean-Marc Gerard
946;Xin-he Meng
947;Zoltán I. Perjés
948;R. C. Smith
949;B. Shakerin
950;S. K. Srivastaca
951;Hans Lindblad
952;P. K. Townsend
953;Victor Petrov
954;A. S. Kubasov
955;Rory Smith
956;A. D. Dmitriev
957;Elina Palmgren
958;W. Zhao
959;Miguel Zilhao
960;Vladimir Shevchenko
961;C. M. Hull
962;Marco G. Giammarchi
963;Felipe Jimenez Ibarra
964;Michael Mattes
965;N. Kijbunchoo
966;N. Boulanger
967;Harald H. Soleng
968;Christian Bracco
969;Muhammad Shoaib
970;Husin Alatas
971;N. M. Muller
972;Pablo Laguna
973;J. A. Harris
974;Jean Coupon
975;Xiankai Pang
976;Geert Raaijmakers
977;Bruno Pereira-Dias
978; MichaelSoffel
